2933,4213,98,323,75,399,338,362,4029,1606
3333,382,1300,139,251,4102,2716,3836,2767,3833
2926,161,1674,393,122,1105,2793,2080,786,4093
4335,2538,4375,877,1110,2664,4325,2265,3471,1684
2531,355,49,306,383,320,348,1424,4377,3955
370,4134,104,438,1504,4113,2775,1351,3793,802
36,408,218,334,2678,2346,3827,596,999,3547
53,322,32,301,440,196,450,1813,350,4411
46,176,155,4111,2496,3079,1574,4038,1087,668
237,422,69,37,246,1720,112,116,1495,253
4308,3950,4489,1072,1612,1553,1551,3066,2955,1660
184,797,4381,97,2752,1864,572,2583,3886,1777
2950,3107,221,4438,1348,1390,2988,1074,3683,2295
19,3414,3505,1734,1455,3559,3122,2326,1128,1781
1829,4042,1825,885,4108,4436,970,1972,2667,2975
31,2493,4298,4097,2729,3061,1236,2251,3542,3782
130,369,73,2195,1488,1022,994,2656,1068,1304
16,353,56,14,173,2921,2623,231,266,331
352,282,77,58,317,4200,44,2264,2686,1414
288,476,3743,2358,3376,1862,3355,2274,2998,4326
